,Price,Land Area (Aana),Road Access (Feet),FACING,FLOOR,BEDROOM,BATHROOM,Street,District,House Age
149,17.129696599000436,3.1,13.0,west,2.5,5,5,imadol,lalitpur,8
150,17.341871111992198,3.2,20.5,west,2.5,5,4,imadol,lalitpur,5
151,17.129696599000436,3.2,20.0,east,2.5,4,4,nakkhu,lalitpur,5
152,17.565014657424058,4.1,20.0,north east,2.5,5,3,imadol,lalitpur,8
153,16.588099342704055,5.2,13.0,north east,2.5,4,3,sanagaun,lalitpur,11
154,17.385043282614657,3.2,13.0,north,2.5,6,4,samakhushi chowk,kathmandu,2
155,17.129696599000436,3.0,13.0,north east,2.5,6,4,imadol,lalitpur,9
156,17.893048018819147,7.1,20.0,east,2.5,6,5,lubhu,lalitpur,7
157,17.1654146803266,4.0,20.0,north west,2.5,4,3,bhaisepati,lalitpur,5
158,17.129696599000436,4.0,12.0,west,2.5,5,3,taukhel,lalitpur,5
159,15.607270193858982,10.7,15.0,south,2.5,6,4,naxal,kathmandu,8
160,17.147715103853763,3.1,13.0,south,2.5,6,4,hattiban,lalitpur,11
161,17.296750678069195,4.0,14.0,north west,2.5,6,4,hattiban,lalitpur,18
162,17.479072229734946,4.2,13.0,east,2.5,6,5,sundarbasti,kathmandu,10
163,15.76142084987672,4.2,20.0,east,2.5,3,1,nakkhu,lalitpur,16
164,17.565014657424058,4.0,20.0,west,2.5,4,6,narayanthan,kathmandu,15
165,17.341871111992198,4.1,13.0,south west,2.5,5,4,katunje,bhaktapur,9
166,17.137664768361013,10.7,20.0,north east,2.5,9,8,bauthali,kathmandu,23
167,17.6762402900575,7.0,20.0,east,2.5,4,5,dhapasi,kathmandu,13
168,14.557448378884015,4.0,13.0,east,2.5,3,3,chabahil,kathmandu,7
169,16.231424425551033,10.7,12.0,south,2.5,5,6,budhanilkantha,kathmandu,9
170,17.356469910987094,3.3,13.0,north east,2.5,4,4,sundarbasti,kathmandu,9
171,14.557448378884015,5.0,20.0,south,2.5,5,2,naya bazar,kathmandu,11
172,14.557448378884015,6.0,20.0,south,2.5,3,3,hattiban,lalitpur,11
173,14.557448378884015,0.0,12.0,east,2.5,3,3,grande villa,kathmandu,7
174,17.182806422433504,6.1,20.0,west,2.5,9,4,nayapati,kathmandu,5
175,17.0926553286923,2.9,13.0,south west,2.5,5,4,imadol,lalitpur,5
176,16.52356082573315,6.0,15.0,south,2.5,4,4,satdobato,lalitpur,17
177,17.565014657424058,4.2,16.0,south east,2.5,7,5,nakhipot,lalitpur,22
178,17.553180200057167,4.2,12.0,south,2.5,6,5,khumaltar,lalitpur,11
179,17.129696599000436,3.2,20.0,south,2.5,7,6,basundhara,kathmandu,5
180,17.19990085520835,4.2,16.0,north,2.5,5,4,jyotinagar,kathmandu,7
181,17.622173069956816,2.2,20.5,east,2.5,7,4,kuleshwor,kathmandu,16
182,16.860033043306743,7.0,14.0,south,2.5,4,4,bansbari,kathmandu,9
183,17.479072229734946,4.3,16.0,north,2.5,6,4,khumaltar,lalitpur,11
184,17.129696599000436,4.0,20.0,south east,2.5,4,4,bhaisepati,lalitpur,11
185,17.6441519761925,7.2,13.0,south,2.5,4,5,dhapasi,kathmandu,10
187,16.993564429978885,3.2,13.0,east,2.5,6,5,bhangal,kathmandu,11
188,17.909855136853043,10.2,13.0,south west,2.5,8,5,mahadevtar,kathmandu,9
189,17.46616882523204,4.2,13.0,east,2.5,6,5,budhanilkantha,kathmandu,9
190,17.147715103853763,4.0,13.0,west,2.5,5,4,pasikot,kathmandu,5
191,17.216707972959764,4.2,14.0,east,2.5,5,4,bhaisepati,lalitpur,5
192,16.951004817371683,2.3,13.0,north,2.5,3,4,imadol,lalitpur,17
193,17.073607134447293,3.0,20.0,east,2.5,5,3,satdobato,lalitpur,17
194,17.05418904934434,3.0,12.0,east,2.5,5,5,budhanilkantha,kathmandu,11
196,17.72753358339242,8.0,20.0,east,2.5,5,3,banasthali,kathmandu,7
197,14.557448378884015,8.0,10.0,south,2.5,3,3,tokha,kathmandu,16
198,17.312018149733785,5.2,13.0,east,2.5,4,4,hattigaunda,kathmandu,11
199,15.473738825043979,10.7,20.0,south,2.5,4,3,pasikot,kathmandu,16
200,16.588099342704055,2.2,13.0,west,2.5,4,4,phutung,kathmandu,11
201,14.557448378884015,10.7,14.0,south,2.5,9,6,mandikhatar,kathmandu,12
202,14.557448378884015,5.2,20.5,east,2.5,4,4,basundhara,kathmandu,10
204,17.296750678069195,4.0,13.0,south,2.5,5,4,gurjudhara,kathmandu,16
205,17.479072229734946,5.2,20.0,east,2.5,5,6,pasikot,kathmandu,22
206,17.822843761378564,9.0,13.0,east,2.5,6,3,balkumari,lalitpur,12
207,17.565014657424058,4.2,16.0,north west,2.5,5,4,bhaisepati,lalitpur,2
208,17.249497794707484,4.0,13.0,south,2.5,4,3,imadol,lalitpur,2
209,17.370858648025116,5.0,13.0,south,2.5,5,3,sitapaila,kathmandu,5
210,14.557448378884015,10.7,16.0,south,2.5,5,4,bhaisepati,lalitpur,8
211,14.557448378884015,9.0,14.0,south,2.5,6,3,gongabu,kathmandu,11
212,17.426428497635523,3.2,20.0,east,2.5,4,4,balkhu,kathmandu,26
213,17.989897843244528,8.0,20.5,south,2.5,5,4,chandol,kathmandu,11
214,17.1654146803266,3.0,13.0,east,2.5,6,4,tikathali,lalitpur,11
215,17.41282284594998,4.0,13.0,east,2.5,7,4,imadol,lalitpur,9
216,14.557448378884015,10.0,14.0,south,2.5,4,3,dhapasi,kathmandu,9
217,17.312018149733785,3.2,13.0,south,2.5,6,4,grande hospital,kathmandu,2
218,17.95067713070663,6.0,20.0,south,2.5,5,7,hattigaunda,kathmandu,26
219,17.989897843244528,8.0,13.0,south,2.5,7,6,hattigaunda,kathmandu,9
220,17.370858648025116,3.1,20.5,west,2.5,3,3,imadol,lalitpur,12
221,17.249497794707484,3.2,13.0,east,2.5,4,4,imadol,lalitpur,12
222,16.97251102166758,3.0,13.0,north east,2.5,6,3,gwarko,lalitpur,2
223,17.19990085520835,3.0,13.0,west,2.5,4,4,gwarko,lalitpur,2
224,17.65496289206296,5.0,13.0,east,2.5,6,4,budhanilkantha,kathmandu,5
225,17.265498135541893,4.0,13.0,south,2.5,6,6,budhanilkantha,kathmandu,8
226,16.52356082573315,4.0,20.0,south,2.5,5,2,uttardhoka,kathmandu,5
227,16.929025911619092,9.0,13.0,south east,2.5,2,2,budhanilkantha,kathmandu,9
229,14.557448378884015,5.0,14.0,north,2.5,4,3,lazimpat,kathmandu,9
230,16.759949589762293,2.3,13.0,east,2.5,4,4,imadol,lalitpur,2
231,15.520258832020865,10.7,20.5,south,2.5,6,6,maharajgunj,kathmandu,21
232,17.249497794707484,3.3,13.0,west,2.5,4,4,satdobato,lalitpur,26
233,17.588271519047417,4.2,20.0,east,2.5,4,4,bhaisepati,lalitpur,9
234,16.906553056777135,3.1,12.0,north,2.5,5,4,gwarko,lalitpur,11
235,16.166885910365842,10.7,12.0,east,2.5,4,5,sanepa,lalitpur,9
236,17.249497794707484,4.0,13.0,east,2.5,5,4,imadol,lalitpur,9
237,14.557448378884015,10.0,14.0,east,2.5,6,6,samakhusi,kathmandu,5
238,17.822843761378564,6.0,20.0,west,2.5,6,3,sitapaila,kathmandu,8
239,17.909855136853043,7.1,12.0,north,2.5,9,6,gongabu,kathmandu,5
240,17.147715103853763,3.0,13.0,north,2.5,5,4,imadol,lalitpur,12
241,17.129696599000436,3.1,13.0,north,2.5,6,5,ochu heights,lalitpur,3
242,17.19990085520835,3.2,13.0,south,2.5,5,4,gwarko,lalitpur,8
243,16.785925074816024,2.3,20.5,west,2.5,5,6,lubhu,lalitpur,5
244,17.11134746100564,3.2,13.0,south,2.5,5,4,lalitpur,lalitpur,20
245,17.147715103853763,4.0,16.0,east,2.5,6,4,imadol,lalitpur,12
246,17.182806422433504,3.0,14.0,east,2.5,3,3,imadol,lalitpur,10
247,17.182806422433504,3.2,13.0,east,2.5,5,5,imadol,lalitpur,2
248,17.182806422433504,3.2,13.0,east,2.5,4,4,imadol,lalitpur,5
250,17.622173069956816,5.0,13.0,east,2.5,4,4,bhaisepati,lalitpur,5
251,16.929025911619092,2.3,13.0,north west,2.5,4,2,dhapasi,kathmandu,12
252,17.073607134447293,3.0,14.0,east,2.5,5,5,golfutar,kathmandu,11
253,14.933925800725897,10.7,14.0,north,2.5,5,4,mandikhatar,kathmandu,9
254,15.26360555500721,10.7,14.0,north,2.5,5,4,chapali,kathmandu,9
255,15.38412668421143,10.7,16.0,missing,2.5,5,3,chundevi,kathmandu,12
256,17.312018149733785,4.3,13.0,south west,2.5,8,5,dadhikot,bhaktapur,2
257,17.11134746100564,3.0,20.0,south,2.5,3,4,harisiddhi,lalitpur,11
258,16.929025911619092,3.0,20.0,west,2.5,5,4,imadol,lalitpur,9
259,17.129696599000436,4.1,13.0,south,2.5,5,5,imadol,lalitpur,9
260,14.557448378884015,10.7,14.0,east,2.5,5,5,ganesh chowk,kathmandu,2
261,16.588099342704055,2.2,12.0,east,2.5,5,3,mulpani,kathmandu,23
262,17.665658180950928,7.0,14.0,west,2.5,6,3,bafal,kathmandu,9
263,17.034386422832473,3.1,13.0,south,2.5,4,4,imadol,lalitpur,12
264,17.034386422832473,3.2,13.0,west,2.5,4,3,imadol,lalitpur,12
265,17.989897843244528,7.2,13.0,south,2.5,6,4,sanepa,lalitpur,2
266,17.989897843244528,9.0,13.0,south west,2.5,5,4,khumaltar,lalitpur,2
267,16.951004817371683,4.0,12.0,north,2.5,9,3,sitapaila,kathmandu,5
268,17.370858648025116,8.0,8.5,south,2.5,8,4,lainchaur,kathmandu,8
269,17.11134746100564,4.0,11.0,west,2.5,8,4,greenhill city,kathmandu,5
270,17.989897843244528,9.0,20.0,south,2.5,5,7,sunakothi,lalitpur,9
271,17.989897843244528,5.0,20.0,north west,2.5,5,4,hattiban,lalitpur,9
272,17.370858648025116,3.3,20.5,north west,2.5,3,4,hattiban,lalitpur,9
273,17.989897843244528,7.3,13.0,north,2.5,9,6,kamalpokhari,kathmandu,2
274,16.705882371415992,3.0,10.0,west,2.5,9,4,lolang,kathmandu,21
275,17.034386422832473,3.0,16.0,north,2.5,6,3,dhapakhel,lalitpur,9
276,17.622173069956816,3.0,13.0,south,2.5,9,4,shantinagar,kathmandu,9
277,17.073607134447293,3.0,20.0,north east,2.5,3,4,dakshindhoka,kathmandu,5
278,17.356469910987094,4.0,13.0,west,2.5,6,5,budhanilkantha,kathmandu,8
279,17.439851517607305,5.0,14.0,south west,2.5,6,5,budhanilkantha,kathmandu,5
280,17.565014657424058,5.1,20.0,north,2.5,4,4,mhaipi,kathmandu,9
281,14.557448378884015,0.0,14.0,south,2.5,5,4,khichapokhari,kathmandu,9
282,14.72376952136689,10.7,20.0,south,2.5,4,4,bhaisepati,lalitpur,9
283,17.216707972959764,5.0,10.0,east,2.5,4,3,dadhikot,bhaktapur,6
284,17.989897843244528,8.0,13.0,north east,2.5,6,3,mandikhatar,kathmandu,23
285,17.216707972959764,4.2,14.0,east,2.5,8,4,pasikot,kathmandu,23
286,14.557448378884015,10.7,20.0,missing,2.5,9,5,kalanki,kathmandu,11
287,16.677711496036597,3.0,12.0,south east,2.5,9,3,lolang,kathmandu,11
288,17.19990085520835,4.2,13.0,north west,2.5,4,4,satungal,kathmandu,9
289,17.57671069691365,6.0,13.0,north,2.5,6,4,dhapakhel,lalitpur,23
290,14.978661680269907,10.7,14.0,east,2.5,3,5,dhapasi,kathmandu,11
291,15.671808704579888,10.7,14.0,east,2.5,4,3,dhapasi,kathmandu,11
292,14.557448378884015,9.0,13.0,east,2.5,4,3,maharajgunj,kathmandu,23
293,14.557448378884015,0.0,13.0,east,2.5,4,4,bhaisepati,lalitpur,3
294,17.249497794707484,3.1,13.0,east,2.5,6,5,imadol,lalitpur,5
295,17.622173069956816,6.3,13.0,south,2.5,7,7,imadol,lalitpur,8
296,17.0926553286923,3.0,13.0,south,2.5,5,4,imadol,lalitpur,5
297,17.19990085520835,3.2,13.0,south,2.5,5,4,imadol,lalitpur,9
298,17.439851517607305,5.0,20.0,south east,2.5,5,4,greenland chowk,kathmandu,9
299,17.989897843244528,10.0,13.0,east,2.5,5,4,bhaisepati,lalitpur,9
300,17.989897843244528,10.7,20.0,north east,2.5,5,6,italitar,kathmandu,6
301,17.05418904934434,3.0,13.0,south,2.5,4,4,tikathali,lalitpur,23
302,16.929025911619092,2.3,20.0,south,2.5,5,3,sanagaun,lalitpur,13
